iter	Passed	Remaining
0	89	89717
1	92	46062
2	94	31418
3	97	24212
4	100	19967
5	102	16981
6	106	15103
7	108	13484
8	110	12217
9	115	11453
10	117	10554
11	121	10017
12	123	9380
13	125	8839
14	129	8480
15	131	8104
16	134	7787
17	138	7558
18	141	7289
19	143	7052
20	145	6802
21	148	6607
22	151	6432
23	155	6316
24	157	6150
25	162	6081
26	164	5939
27	168	5856
28	171	5728
29	173	5595
30	175	5497
31	178	5404
32	182	5337
33	184	5248
34	187	5158
35	198	5302
36	202	5262
37	206	5226
38	211	5222
39	224	5376
40	227	5318
41	231	5290
42	235	5250
43	238	5179
44	241	5117
45	244	5081
46	248	5028
47	250	4968
48	256	4982
49	260	4946
50	264	4914
51	267	4884
52	270	4839
53	273	4792
54	276	4749
55	279	4705
56	281	4650
57	284	4622
58	287	4592
59	291	4569
60	294	4530
61	296	4488
62	299	4452
63	302	4422
64	304	4380
65	307	4348
66	309	4315
67	312	4277
68	315	4257
69	317	4222
70	320	4190
71	323	4167
72	325	4132
73	327	4100
74	330	4071
75	331	4035
76	334	4005
77	335	3970
78	339	3953
79	341	3923
80	343	3894
81	346	3884
82	349	3862
83	351	3837
84	355	3821
85	357	3794
86	359	3771
87	361	3750
88	364	3728
89	366	3703
90	369	3690
91	371	3669
92	374	3650
93	376	3632
94	379	3614
95	381	3590
96	384	3579
97	389	3584
98	396	3604
99	399	3595
100	401	3577
101	404	3559
102	411	3581
103	416	3591
104	420	3582
105	423	3567
106	424	3546
107	426	3525
108	429	3510
109	431	3490
110	433	3472
111	438	3474
112	440	3454
113	442	3437
114	445	3431
115	447	3413
116	450	3397
117	452	3385
118	455	3374
119	457	3356
120	461	3352
121	463	3338
122	466	3327
123	469	3318
124	471	3303
125	473	3287
126	477	3280
127	480	3270
128	484	3271
129	486	3257
130	488	3243
131	492	3238
132	494	3224
133	497	3215
134	500	3208
135	503	3197
136	507	3195
137	509	3181
138	511	3167
139	514	3163
140	518	3159
141	527	3189
142	533	3195
143	535	3185
144	538	3173
145	540	3162
146	543	3152
147	547	3149
148	549	3139
149	551	3125
150	554	3119
151	557	3107
152	558	3094
153	561	3083
154	564	3077
155	566	3067
156	570	3064
157	578	3081
158	586	3104
159	590	3098
160	593	3091
161	596	3083
162	598	3071
163	600	3062
164	604	3060
165	609	3063
166	612	3057
167	616	3053
168	618	3041
169	621	3033
170	623	3022
171	627	3022
172	632	3023
173	634	3013
174	636	3002
175	640	3000
176	643	2991
177	645	2980
178	649	2979
179	654	2981
180	656	2971
181	659	2962
182	662	2959
183	665	2949
184	667	2938
185	671	2937
186	673	2928
187	675	2918
188	679	2913
189	681	2904
190	684	2901
191	688	2899
192	691	2891
193	694	2886
194	697	2879
195	700	2873
196	702	2863
197	704	2854
198	706	2843
199	709	2839
200	712	2831
201	714	2821
202	717	2817
203	719	2809
204	722	2800
205	725	2795
206	727	2786
207	729	2777
208	732	2770
209	734	2763
210	736	2754
211	739	2748
212	741	2741
213	744	2733
214	747	2729
215	750	2723
216	752	2715
217	756	2712
218	758	2703
219	764	2712
220	768	2710
221	773	2711
222	776	2706
223	779	2700
224	782	2694
225	785	2689
226	791	2695
227	795	2695
228	797	2686
229	804	2693
230	806	2683
231	816	2702
232	821	2703
233	823	2697
234	828	2696
235	831	2691
236	837	2696
237	842	2696
238	844	2690
239	848	2686
240	854	2690
241	859	2692
242	867	2702
243	873	2705
244	876	2700
245	882	2704
246	887	2704
247	896	2718
248	902	2723
249	907	2723
250	911	2719
251	915	2718
252	918	2711
253	923	2712
254	929	2716
255	932	2708
256	938	2713
257	942	2710
258	946	2708
259	949	2703
260	952	2696
261	954	2689
262	957	2682
263	969	2703
264	976	2709
265	979	2703
266	988	2715
267	992	2711
268	995	2704
269	999	2701
270	1001	2693
271	1003	2685
272	1007	2681
273	1009	2674
274	1011	2667
275	1013	2659
276	1015	2651
277	1018	2644
278	1026	2653
279	1029	2647
280	1032	2642
281	1037	2642
282	1040	2635
283	1042	2628
284	1047	2627
285	1049	2619
286	1057	2627
287	1060	2622
288	1063	2616
289	1065	2608
290	1068	2604
291	1071	2597
292	1073	2590
293	1076	2584
294	1078	2577
295	1080	2570
296	1084	2567
297	1087	2560
298	1090	2556
299	1093	2551
300	1096	2546
301	1099	2540
302	1101	2534
303	1104	2527
304	1107	2522
305	1109	2516
306	1111	2509
307	1113	2501
308	1116	2496
309	1118	2488
310	1121	2483
311	1123	2478
312	1126	2472
313	1128	2465
314	1131	2461
315	1133	2454
316	1137	2450
317	1139	2444
318	1142	2437
319	1144	2431
320	1147	2428
321	1150	2422
322	1153	2417
323	1155	2410
324	1157	2404
325	1160	2399
326	1166	2400
327	1169	2395
328	1172	2391
329	1175	2387
330	1178	2382
331	1182	2379
332	1186	2377
333	1195	2383
334	1198	2379
335	1201	2373
336	1203	2367
337	1205	2360
338	1209	2357
339	1211	2351
340	1214	2347
341	1217	2342
342	1219	2336
343	1221	2329
344	1224	2325
345	1226	2318
346	1230	2315
347	1232	2309
348	1234	2303
349	1236	2297
350	1240	2293
351	1242	2287
352	1246	2283
353	1248	2278
354	1250	2272
355	1252	2265
356	1255	2262
357	1258	2256
358	1261	2252
359	1263	2247
360	1266	2241
361	1268	2235
362	1270	2230
363	1273	2224
364	1276	2220
365	1279	2215
366	1281	2209
367	1283	2204
368	1287	2201
369	1290	2197
370	1292	2191
371	1294	2185
372	1299	2185
373	1302	2179
374	1304	2174
375	1307	2169
376	1309	2163
377	1311	2158
378	1313	2152
379	1316	2148
380	1319	2143
381	1323	2141
382	1326	2136
383	1328	2131
384	1332	2128
385	1334	2122
386	1337	2119
387	1340	2113
388	1342	2108
389	1345	2103
390	1349	2101
391	1354	2100
392	1357	2096
393	1360	2091
394	1363	2089
395	1366	2084
396	1369	2080
397	1372	2075
398	1375	2071
399	1379	2069
400	1383	2066
401	1386	2062
402	1388	2057
403	1390	2051
404	1394	2048
405	1396	2043
406	1399	2038
407	1401	2033
408	1403	2028
409	1405	2023
410	1409	2020
411	1411	2014
412	1416	2012
413	1418	2007
414	1420	2002
415	1424	2000
416	1426	1994
417	1429	1990
418	1431	1984
419	1433	1979
420	1435	1974
421	1437	1969
422	1441	1965
423	1443	1961
424	1446	1956
425	1448	1951
426	1450	1946
427	1452	1941
428	1455	1936
429	1457	1932
430	1461	1929
431	1464	1925
432	1466	1919
433	1468	1914
434	1471	1911
435	1474	1907
436	1476	1902
437	1479	1897
438	1481	1893
439	1483	1888
440	1486	1884
441	1489	1879
442	1491	1875
443	1494	1870
444	1496	1865
445	1498	1861
446	1500	1856
447	1503	1851
448	1505	1847
449	1508	1843
450	1511	1839
451	1513	1834
452	1516	1831
453	1518	1826
454	1521	1822
455	1524	1818
456	1526	1813
457	1528	1808
458	1531	1805
459	1537	1805
460	1547	1808
461	1549	1804
462	1552	1801
463	1555	1797
464	1561	1796
465	1564	1793
466	1568	1789
467	1572	1787
468	1575	1783
469	1578	1779
470	1581	1776
471	1586	1774
472	1588	1769
473	1591	1765
474	1597	1765
475	1602	1763
476	1604	1759
477	1607	1755
478	1610	1751
479	1614	1749
480	1618	1746
481	1621	1742
482	1625	1740
483	1627	1735
484	1631	1732
485	1633	1727
486	1635	1723
487	1638	1718
488	1641	1715
489	1644	1711
490	1648	1708
491	1650	1704
492	1653	1700
493	1656	1696
494	1658	1691
495	1661	1688
496	1663	1683
497	1666	1679
498	1669	1675
499	1671	1671
500	1675	1669
501	1678	1665
502	1682	1662
503	1684	1657
504	1689	1656
505	1696	1656
506	1698	1651
507	1701	1647
508	1705	1644
509	1710	1643
510	1716	1642
511	1719	1639
512	1724	1636
513	1733	1639
514	1737	1636
515	1745	1637
516	1754	1639
517	1758	1636
518	1762	1633
519	1765	1629
520	1775	1632
521	1778	1628
522	1792	1635
523	1795	1630
524	1797	1626
525	1801	1622
526	1803	1618
527	1807	1615
528	1809	1610
529	1811	1606
530	1814	1602
531	1818	1599
532	1820	1595
533	1822	1590
534	1824	1586
535	1827	1582
536	1829	1577
537	1835	1576
538	1837	1571
539	1839	1567
540	1842	1563
541	1844	1558
542	1847	1554
543	1849	1550
544	1851	1546
545	1853	1541
546	1855	1536
547	1857	1532
548	1860	1528
549	1864	1525
550	1866	1521
551	1869	1517
552	1871	1512
553	1873	1508
554	1876	1504
555	1881	1502
556	1884	1498
557	1886	1494
558	1888	1490
559	1891	1485
560	1893	1482
561	1896	1478
562	1904	1478
563	1906	1473
564	1910	1471
565	1913	1466
566	1915	1462
567	1918	1459
568	1923	1456
569	1932	1457
570	1938	1456
571	1943	1454
572	1946	1450
573	1948	1446
574	1956	1446
575	1960	1443
576	1974	1447
577	1976	1442
578	1978	1438
579	1983	1436
580	1995	1438
581	1999	1435
582	2004	1433
583	2010	1432
584	2013	1428
585	2016	1424
586	2022	1423
587	2025	1419
588	2029	1416
589	2031	1411
590	2038	1410
591	2040	1406
592	2042	1402
593	2045	1397
594	2048	1394
595	2051	1390
596	2056	1388
597	2060	1384
598	2061	1380
599	2065	1377
600	2068	1373
601	2071	1369
602	2074	1365
603	2076	1361
604	2079	1357
605	2083	1354
606	2085	1350
607	2087	1346
608	2090	1341
609	2092	1337
610	2094	1333
611	2098	1330
612	2100	1326
613	2102	1321
614	2104	1317
615	2107	1313
616	2109	1309
617	2116	1308
618	2121	1305
619	2126	1303
620	2129	1299
621	2132	1295
622	2135	1291
623	2138	1288
624	2146	1287
625	2149	1284
626	2151	1280
627	2153	1275
628	2155	1271
629	2161	1269
630	2163	1265
631	2165	1260
632	2167	1256
633	2169	1252
634	2171	1247
635	2174	1244
636	2177	1240
637	2179	1236
638	2181	1232
639	2184	1228
640	2186	1224
641	2190	1221
642	2193	1217
643	2195	1213
644	2198	1209
645	2200	1205
646	2202	1201
647	2207	1198
648	2209	1195
649	2212	1191
650	2214	1187
651	2216	1183
652	2220	1180
653	2222	1176
654	2224	1171
655	2226	1167
656	2228	1163
657	2230	1159
658	2232	1155
659	2235	1151
660	2237	1147
661	2239	1143
662	2242	1139
663	2244	1135
664	2246	1131
665	2248	1127
666	2253	1124
667	2255	1121
668	2258	1117
